SISTEMA,CIA,PRODUCTO,PRODUCTO_CIA,TARIFA,FEE,P1,P2,P3,P4,P5,P6,P1.,P2.,P3.,P4.,P5.,P6.
CANARIAS,ACCIONA,FIJO,CIERZO,2.0TD,-,0.08812065753424657,0.01957021917808219,0,0,0,0,0.356437903,0.305364053,0.266743763,0,0,0
CANARIAS,ACCIONA,FIJO,LEVANTE,2.0TD,-,0.07168230136986302,0.0031318630136986303,0,0,0,0,0.367602903,0.31652905299999995,0.27790876299999995,0,0,0
CANARIAS,ACCIONA,FIJO,LEVANTE+,2.0TD,-,0.08264120547945206,0.014090767123287672,0,0,0,0,0.367602903,0.31652905299999995,0.27790876299999995,0,0,0
CANARIAS,ACCIONA,FIJO,PONIENTE,2.0TD,-,0.07168230136986302,0.0031318630136986303,0,0,0,0,0.361512903,0.31043905299999996,0.27181876299999996,0,0,0
CANARIAS,ACCIONA,FIJO,PONIENTE+,2.0TD,-,0.07716175342465753,0.008611315068493152,0,0,0,0,0.361512903,0.31043905299999996,0.27181876299999996,0,0,0
CANARIAS,ACCIONA,FIJO,TRAMONTANA,2.0TD,-,0.07168230136986302,0.0031318630136986303,0,0,0,0,0.356437903,0.305364053,0.266743763,0,0,0
CANARIAS,ACCIONA,FIJO,TRAMONTANA+,2.0TD,-,0.07442202739726027,0.0058715890410958906,0,0,0,0,0.356437903,0.305364053,0.266743763,0,0,0
CANARIAS,ACCIONA,FIJO,CIERZO,3.0TD,-,0.056000273972602745,0.04692413698630137,0.03047468493150685,0.02804791780821918,0.023445424657534245,0.021316520547945205,0.317779913,0.330940804,0.302274823,0.28126593000000005,0.266426826,0.26263897699999994
CANARIAS,ACCIONA,FIJO,LEVANTE,3.0TD,-,0.039561917808219174,0.03048578082191781,0.014036328767123287,0.011609561643835618,0.007007068493150685,0.004878164383561643,0.32894491300000006,0.34210580399999996,0.313439823,0.29243093000000003,0.27759182600000004,0.273803977
CANARIAS,ACCIONA,FIJO,LEVANTE+,3.0TD,-,0.05052082191780822,0.041444684931506846,0.02499523287671233,0.02256846575342466,0.017965972602739726,0.015837068493150683,0.32894491300000006,0.34210580399999996,0.313439823,0.29243093000000003,0.27759182600000004,0.273803977
CANARIAS,ACCIONA,FIJO,PONIENTE,3.0TD,-,0.039561917808219174,0.03048578082191781,0.014036328767123287,0.011609561643835618,0.007007068493150685,0.004878164383561643,0.322854913,0.33601580400000003,0.307349823,0.28634093,0.271501826,0.267713977
CANARIAS,ACCIONA,FIJO,PONIENTE+,3.0TD,-,0.0450413698630137,0.03596523287671233,0.019515780821917808,0.017089013698630137,0.012486520547945204,0.010357616438356164,0.322854913,0.33601580400000003,0.307349823,0.28634093,0.271501826,0.267713977
CANARIAS,ACCIONA,FIJO,TRAMONTANA,3.0TD,-,0.039561917808219174,0.03048578082191781,0.014036328767123287,0.011609561643835618,0.007007068493150685,0.004878164383561643,0.317779913,0.330940804,0.302274823,0.28126593000000005,0.266426826,0.26263897699999994
CANARIAS,ACCIONA,FIJO,TRAMONTANA+,3.0TD,-,0.04230164383561644,0.033225506849315065,0.01677605479452055,0.014349287671232877,0.009746794520547946,0.007617890410958904,0.317779913,0.330940804,0.302274823,0.28126593000000005,0.266426826,0.26263897699999994
CANARIAS,ACCIONA,FIJO,CIERZO,6.1TD,-,0.07785509589041097,0.07224882191780821,0.04788531506849315,0.041247835616438355,0.021896219178082193,0.019685671232876713,0.284363792,0.294384273,0.27438540299999997,0.256516909,0.24288953800000002,0.23909882400000002
CANARIAS,ACCIONA,FIJO,LEVANTE,6.1TD,-,0.0614167397260274,0.05581046575342465,0.03144695890410959,0.024809479452054795,0.00545786301369863,0.003247315068493151,0.29552879199999993,0.30554927299999995,0.28555040299999995,0.267681909,0.254054538,0.250263824
CANARIAS,ACCIONA,FIJO,LEVANTE+,6.1TD,-,0.07237564383561644,0.0667693698630137,0.04240586301369863,0.035768383561643836,0.01641676712328767,0.014206219178082192,0.29552879199999993,0.30554927299999995,0.28555040299999995,0.267681909,0.254054538,0.250263824
CANARIAS,ACCIONA,FIJO,PONIENTE,6.1TD,-,0.0614167397260274,0.05581046575342465,0.03144695890410959,0.024809479452054795,0.00545786301369863,0.003247315068493151,0.289438792,0.29945927299999997,0.27946040299999997,0.261591909,0.247964538,0.24417382399999998
CANARIAS,ACCIONA,FIJO,PONIENTE+,6.1TD,-,0.06689619178082191,0.06128991780821917,0.03692641095890411,0.030288931506849314,0.01093731506849315,0.008726767123287672,0.289438792,0.29945927299999997,0.27946040299999997,0.261591909,0.247964538,0.24417382399999998
CANARIAS,ACCIONA,FIJO,TRAMONTANA,6.1TD,-,0.0614167397260274,0.05581046575342465,0.03144695890410959,0.024809479452054795,0.00545786301369863,0.003247315068493151,0.284363792,0.294384273,0.27438540299999997,0.256516909,0.24288953800000002,0.23909882400000002
CANARIAS,ACCIONA,FIJO,TRAMONTANA+,6.1TD,-,0.06415646575342467,0.058550191780821915,0.034186684931506846,0.027549205479452055,0.00819758904109589,0.005987041095890411,0.284363792,0.294384273,0.27438540299999997,0.256516909,0.24288953800000002,0.23909882400000002
CANARIAS,ACCIONA,FIJO,CIERZO,6.2TD,-,0.060269534246575336,0.05697786301369863,0.03705117808219178,0.035406849315068496,0.019981287671232875,0.01868317808219178,0.26566004,0.278592719,0.263817314,0.249235145,0.239959023,0.23331693800000003
CANARIAS,ACCIONA,FIJO,LEVANTE,6.2TD,-,0.04383117808219178,0.040539506849315066,0.020612821917808218,0.01896849315068493,0.0035429315068493147,0.0022448219178082193,0.27682504,0.289757719,0.27498231399999995,0.26040014499999997,0.251124023,0.244481938
CANARIAS,ACCIONA,FIJO,LEVANTE+,6.2TD,-,0.05479008219178082,0.05149841095890411,0.03157172602739726,0.029927397260273974,0.014501835616438356,0.013203726027397259,0.27682504,0.289757719,0.27498231399999995,0.26040014499999997,0.251124023,0.244481938
CANARIAS,ACCIONA,FIJO,PONIENTE,6.2TD,-,0.04383117808219178,0.040539506849315066,0.020612821917808218,0.01896849315068493,0.0035429315068493147,0.0022448219178082193,0.27073504,0.283667719,0.268892314,0.254310145,0.245034023,0.238391938
CANARIAS,ACCIONA,FIJO,PONIENTE+,6.2TD,-,0.04931063013698629,0.04601895890410959,0.026092273972602737,0.024447945205479455,0.009022383561643836,0.00772427397260274,0.27073504,0.283667719,0.268892314,0.254310145,0.245034023,0.238391938
CANARIAS,ACCIONA,FIJO,TRAMONTANA,6.2TD,-,0.04383117808219178,0.040539506849315066,0.020612821917808218,0.01896849315068493,0.0035429315068493147,0.0022448219178082193,0.26566004,0.278592719,0.263817314,0.249235145,0.239959023,0.23331693800000003
CANARIAS,ACCIONA,FIJO,TRAMONTANA+,6.2TD,-,0.046570904109589036,0.04327923287671233,0.023352547945205478,0.021708219178082192,0.0062826575342465754,0.00498454794520548,0.26566004,0.278592719,0.263817314,0.249235145,0.239959023,0.23331693800000003
BALEARES,ACCIONA,FIJO,CIERZO,2.0TD,-,0.08812065753424657,0.01957021917808219,0,0,0,0,0.356437903,0.305364053,0.266743763,0,0,0
BALEARES,ACCIONA,FIJO,LEVANTE,2.0TD,-,0.07168230136986302,0.0031318630136986303,0,0,0,0,0.367602903,0.31652905299999995,0.27790876299999995,0,0,0
BALEARES,ACCIONA,FIJO,LEVANTE+,2.0TD,-,0.08264120547945206,0.014090767123287672,0,0,0,0,0.367602903,0.31652905299999995,0.27790876299999995,0,0,0
BALEARES,ACCIONA,FIJO,PONIENTE,2.0TD,-,0.07168230136986302,0.0031318630136986303,0,0,0,0,0.361512903,0.31043905299999996,0.27181876299999996,0,0,0
