0;1;2;3;4;5;6;7;8
48;Espec_Subasta_Mensual_EF;/archives/48/download?date_type=datos&end_date=2023-01-10T23%3A59%3A59%2B00%3A00&locale=es&start_date=2020-01-29T00%3A00%3A00%2B00%3A00;Mercados y precios;Subastas explícitas;Descargas;pdf;2019-12-17,2022-12-20;2020-01-01,2023-01-31
147;Espec_Subasta_Mensual_EP;/archives/147/download?date_type=datos&end_date=2023-01-10T23%3A59%3A59%2B00%3A00&locale=es&start_date=2020-01-29T00%3A00%3A00%2B00%3A00;Mercados y precios;Subastas explícitas;Descargas;pdf;2019-12-17,2022-12-20;2020-01-01,2023-01-31
49;Espec_Subasta_Mensual_FE;/archives/49/download?date_type=datos&end_date=2023-01-10T23%3A59%3A59%2B00%3A00&locale=es&start_date=2020-01-29T00%3A00%3A00%2B00%3A00;Mercados y precios;Subastas explícitas;Descargas;pdf;2019-12-17,2022-12-20;2020-01-01,2023-01-31
59;Espec_Subasta_Mensual_FE_Cancel;/archives/59/download?date_type=datos&end_date=2023-01-10T23%3A59%3A59%2B00%3A00&locale=es&start_date=2020-01-29T00%3A00%3A00%2B00%3A00;Mercados y precios;Subastas explícitas;Descargas;pdf;2021-07-20;2021-08-01,2021-08-31
148;Espec_Subasta_Mensual_PE;/archives/148/download?date_type=datos&end_date=2023-01-10T23%3A59%3A59%2B00%3A00&locale=es&start_date=2020-01-29T00%3A00%3A00%2B00%3A00;Mercados y precios;Subastas explícitas;Descargas;pdf;2019-12-17,2022-12-20;2020-01-01,2023-01-31
149;Espec_Subasta_Trimestral_EP;/archives/149/download?date_type=datos&end_date=2023-01-10T23%3A59%3A59%2B00%3A00&locale=es&start_date=2020-01-29T00%3A00%3A00%2B00%3A00;Mercados y precios;Subastas explícitas;Descargas;pdf;2019-12-12,2022-12-14;2020-01-01,2023-03-31
150;Espec_Subasta_Trimestral_PE;/archives/150/download?date_type=datos&end_date=2023-01-10T23%3A59%3A59%2B00%3A00&locale=es&start_date=2020-01-29T00%3A00%3A00%2B00%3A00;Mercados y precios;Subastas explícitas;Descargas;pdf;2019-12-12,2022-12-14;2020-01-01,2023-03-31
15;hemeroteca_DD_ent;/archives/15/download?date_type=datos&end_date=2023-01-10T23%3A59%3A59%2B00%3A00&locale=es&start_date=2020-01-29T00%3A00%3A00%2B00%3A00;Generación y consumo, Mercados y precios;General;Descargas;zip;2020-04-28,2023-04-10;2020-01-29,2023-01-10
16;hemeroteca_DD_sal;/archives/16/download?date_type=datos&end_date=2023-01-10T23%3A59%3A59%2B00%3A00&locale=es&start_date=2020-01-29T00%3A00%3A00%2B00%3A00;Generación y consumo, Mercados y precios;General;Descargas;zip;2020-04-28,2023-04-10;2020-01-29,2023-01-10
32;I3DIA;/archives/32/download?date_type=datos&end_date=2023-01-10T23%3A59%3A59%2B00%3A00&locale=es&start_date=2020-01-29T00%3A00%3A00%2B00%3A00;Generación y consumo, Mercados y precios;General;Descargas;zip;2020-02-02,2023-08-05;2020-01-29,2023-01-10
34;I90DIA;/archives/34/download?date_type=datos&end_date=2023-01-10T23%3A59%3A59%2B00%3A00&locale=es&start_date=2020-01-29T00%3A00%3A00%2B00%3A00;Generación y consumo, Mercados y precios;General;Descargas;zip;2020-04-28,2023-08-05;2020-01-29,2023-01-10
33;IMES;/archives/33/download?date_type=datos&end_date=2023-01-10T23%3A59%3A59%2B00%3A00&locale=es&start_date=2020-01-29T00%3A00%3A00%2B00%3A00;Generación y consumo, Mercados y precios;General;Descargas;zip;2020-03-01,2023-08-05;2020-01-01,2023-01-31
105;Indisponibilidades;/archives/105/download?date_type=datos&end_date=2023-01-10T23%3A59%3A59%2B00%3A00&locale=es&start_date=2020-01-29T00%3A00%3A00%2B00%3A00;Generación y consumo;Indisponibilidades;Descargas;xls;2020-01-30,2023-01-11;2020-01-29,2023-01-10
69;INF_SUBASTA_MM;/archives/69/download?date_type=datos&end_date=2023-01-10T23%3A59%3A59%2B00%3A00&locale=es&start_date=2020-01-29T00%3A00%3A00%2B00%3A00;Mercados y precios;Subastas explícitas;Descargas;pdf;2019-12-19,2022-12-22;2020-01-01,2023-01-31
17;liquicierre;/archives/17/download?date_type=datos&end_date=2023-01-10T23%3A59%3A59%2B00%3A00&locale=es&start_date=2020-01-29T00%3A00%3A00%2B00%3A00;Mercados y precios;Regulación Secundaria;Descargas;xml;2020-04-28,2023-04-10;2020-01-29,2023-01-10
107;p48cierre;/archives/107/download?date_type=datos&end_date=2023-01-10T23%3A59%3A59%2B00%3A00&locale=es&start_date=2020-01-29T00%3A00%3A00%2B00%3A00;Generación y consumo;Programas;Descargas;xml;2020-01-30,2023-01-12;2020-01-29,2023-01-10
78;perfilconsumo;/archives/78/download?date_type=datos&end_date=2023-01-10T23%3A59%3A59%2B00%3A00&locale=es&start_date=2020-01-29T00%3A00%3A00%2B00%3A00;Mercados y precios;PVPC;Descargas;xml;2020-01-23,2023-01-05;2020-01-25,2023-01-13
106;PlanesMantenimiento;/archives/106/download?date_type=datos&end_date=2023-01-10T23%3A59%3A59%2B00%3A00&locale=es&start_date=2020-01-29T00%3A00%3A00%2B00%3A00;Generación y consumo;Indisponibilidades;Descargas;xls;2020-01-01,2023-01-01;2020-01-01,2023-01-31
79;preciovoluntariopconsumidor;/archives/79/download?date_type=datos&end_date=2023-01-10T23%3A59%3A59%2B00%3A00&locale=es&start_date=2020-01-29T00%3A00%3A00%2B00%3A00;Mercados y precios;PVPC;Descargas;xml;2020-01-28,2023-01-09;2020-01-29,2023-01-10
71;PVPC_DETALLE_DD;/archives/71/download?date_type=datos&end_date=2023-01-10T23%3A59%3A59%2B00%3A00&locale=es&start_date=2020-01-29T00%3A00%3A00%2B00%3A00;Mercados y precios;PVPC;Descargas;xls;2020-01-28,2023-05-19;2020-01-29,2023-01-10
80;pvpcdesglosehorario;/archives/80/download?date_type=datos&end_date=2023-01-10T23%3A59%3A59%2B00%3A00&locale=es&start_date=2020-01-29T00%3A00%3A00%2B00%3A00;Mercados y precios;PVPC;Descargas;xml;2020-01-28,2023-01-09;2020-01-29,2023-01-10
109;REE_ActualGenOutput;/archives/109/download?date_type=datos&end_date=2023-01-10T23%3A59%3A59%2B00%3A00&locale=es&start_date=2020-01-29T00%3A00%3A00%2B00%3A00;Generación y consumo;General;Descargas;xml;2020-02-03,2023-01-27;2020-01-29,2023-01-10
108;REE_AggGenOutput;/archives/108/download?date_type=datos&end_date=2023-01-10T23%3A59%3A59%2B00%3A00&locale=es&start_date=2020-01-29T00%3A00%3A00%2B00%3A00;Generación y consumo;General;Descargas;xml;2020-01-29,2022-05-24;2020-01-29,2022-05-23
