SISTEMA,TARIFA,CIA,MES,FEE,P1,P2,P3,P4,P5,P6
BALEARES,2.0TD,ACCIONA,2022-12-01 00:00:00,Levante+,0.2366841551,0.1899126311,0.16681381425,0.0,0.0,0.0
BALEARES,2.0TD,ACCIONA,2022-11-01 00:00:00,Levante+,0.25861823608,0.21194683388,0.1892975788,0.0,0.0,0.0
BALEARES,2.0TD,ACCIONA,2022-10-01 00:00:00,Levante+,0.27234913578,0.22574041058,0.2033725845499999,0.0,0.0,0.0
BALEARES,2.0TD,ACCIONA,2022-09-01 00:00:00,Levante+,0.28428233426,0.23774590986,0.21570272585,0.0,0.0,0.0
BALEARES,2.0TD,ACCIONA,2022-08-01 00:00:00,Levante+,0.30057083502,0.25410876222,0.23239942795,0.0,0.0,0.0
BALEARES,2.0TD,ACCIONA,2022-07-01 00:00:00,Levante+,0.28615633688,0.23962846668,0.2176236923,0.0,0.0,0.0
BALEARES,2.0TD,ACCIONA,2022-06-01 00:00:00,Levante+,0.31794366434,0.27156089274,0.25020763265,0.0,0.0,0.0
BALEARES,2.0TD,ACCIONA,2022-05-01 00:00:00,Levante+,0.33856947934,0.29228085774,0.27135034515,0.0,0.0,0.0
BALEARES,2.0TD,ACCIONA,2022-04-01 00:00:00,Levante+,0.34374361236,0.29747860896,0.2766541456,0.0,0.0,0.0
BALEARES,2.0TD,ACCIONA,2022-03-01 00:00:00,Levante+,0.4519171723999999,0.4061459454,0.3875386115,0.0,0.0,
BALEARES,2.0TD,ACCIONA,2022-02-01 00:00:00,Levante+,0.35399758896,0.30777939156,0.2871650941,0.0,0.0,0.0
BALEARES,2.0TD,ACCIONA,2022-01-01 00:00:00,Levante+,0.35576551596,0.30955538856,0.2889773266,0.0,0.0,0.0
BALEARES,2.0TD,ACCIONA,2023-07-01 00:00:00,Levante+,0.22904671,0.18224032,0.15898497,0.0,0.0,0.0
BALEARES,2.0TD,ACCIONA,2023-06-01 00:00:00,Poniente,0.22190218636,0.17510951896,0.1519157651,0.0,0.0,0.0
BALEARES,2.0TD,ACCIONA,2023-05-01 00:00:00,Poniente,0.19973238178,0.15283851658,0.12919036955,0.0,0.0,0.0
BALEARES,2.0TD,ACCIONA,2023-04-01 00:00:00,Poniente,0.19916664514,0.1522701975399999,0.12861045515,0.0,0.0,0.0
BALEARES,2.0TD,ACCIONA,2023-03-01 00:00:00,Poniente,0.21788309898,0.17107208578,0.14779595655,0.0,0.0,0.0
BALEARES,2.0TD,ACCIONA,2023-02-01 00:00:00,Poniente,0.26957728446,0.22300223806,0.20078563485,0.0,0.0,0.0
BALEARES,2.0TD,ACCIONA,2023-01-01 00:00:00,Poniente,0.1942400219,0.1473210858999999,0.12356036725,0.0,0.0,0.0
BALEARES,2.0TD,ACCIONA,2022-12-01 00:00:00,Poniente,0.2265341551,0.1797626311,0.15666381425,0.0,0.0,0.0
BALEARES,2.0TD,ACCIONA,2022-11-01 00:00:00,Poniente,0.24846823608,0.20179683388,0.1791475788,0.0,0.0,0.0
BALEARES,2.0TD,ACCIONA,2022-10-01 00:00:00,Poniente,0.26219913578,0.21559041058,0.19322258455,0.0,0.0,0.0
BALEARES,2.0TD,ACCIONA,2022-09-01 00:00:00,Poniente,0.27413233426,0.22759590986,0.20555272585,0.0,0.0,0.0
BALEARES,2.0TD,ACCIONA,2022-08-01 00:00:00,Poniente,0.29042083502,0.24395876222,0.22224942795,0.0,0.0,0.0
BALEARES,2.0TD,ACCIONA,2022-07-01 00:00:00,Poniente,0.27600633688,0.22947846668,0.2074736923,0.0,0.0,0.0
BALEARES,2.0TD,ACCIONA,2022-06-01 00:00:00,Poniente,0.30779366434,0.26141089274,0.24005763265,0.0,0.0,0.0
BALEARES,2.0TD,ACCIONA,2022-05-01 00:00:00,Poniente,0.32841947934,0.28213085774,0.26120034515,0.0,0.0,0.0
BALEARES,2.0TD,ACCIONA,2022-04-01 00:00:00,Poniente,0.33359361236,0.28732860896,0.2665041456000001,0.0,0.0,0.0
BALEARES,2.0TD,ACCIONA,2022-03-01 00:00:00,Poniente,0.4417671723999999,0.3959959454,0.3773886115,0.0,0.0,
BALEARES,2.0TD,ACCIONA,2022-02-01 00:00:00,Poniente,0.34384758896,0.29762939156,0.2770150941,0.0,0.0,0.0
BALEARES,2.0TD,ACCIONA,2022-01-01 00:00:00,Poniente,0.34561551596,0.29940538856,0.2788273266,0.0,0.0,0.0
BALEARES,2.0TD,ACCIONA,2023-07-01 00:00:00,Poniente,0.21889671,0.17209032,0.14883497,0.0,0.0,0.0
BALEARES,2.0TD,ACCIONA,2023-06-01 00:00:00,Poniente+,0.22190218636,0.17510951896,0.1519157651,0.0,0.0,0.0
BALEARES,2.0TD,ACCIONA,2023-05-01 00:00:00,Poniente+,0.19973238178,0.15283851658,0.12919036955,0.0,0.0,0.0
BALEARES,2.0TD,ACCIONA,2023-04-01 00:00:00,Poniente+,0.19916664514,0.1522701975399999,0.12861045515,0.0,0.0,0.0
BALEARES,2.0TD,ACCIONA,2023-03-01 00:00:00,Poniente+,0.21788309898,0.17107208578,0.14779595655,0.0,0.0,0.0
BALEARES,2.0TD,ACCIONA,2023-02-01 00:00:00,Poniente+,0.26957728446,0.22300223806,0.20078563485,0.0,0.0,0.0
BALEARES,2.0TD,ACCIONA,2023-01-01 00:00:00,Poniente+,0.1942400219,0.1473210858999999,0.12356036725,0.0,0.0,0.0
BALEARES,2.0TD,ACCIONA,2022-12-01 00:00:00,Poniente+,0.2265341551,0.1797626311,0.15666381425,0.0,0.0,0.0
BALEARES,2.0TD,ACCIONA,2022-11-01 00:00:00,Poniente+,0.24846823608,0.20179683388,0.1791475788,0.0,0.0,0.0
BALEARES,2.0TD,ACCIONA,2022-10-01 00:00:00,Poniente+,0.26219913578,0.21559041058,0.19322258455,0.0,0.0,0.0
BALEARES,2.0TD,ACCIONA,2022-09-01 00:00:00,Poniente+,0.27413233426,0.22759590986,0.20555272585,0.0,0.0,0.0
BALEARES,2.0TD,ACCIONA,2022-08-01 00:00:00,Poniente+,0.29042083502,0.24395876222,0.22224942795,0.0,0.0,0.0
BALEARES,2.0TD,ACCIONA,2022-07-01 00:00:00,Poniente+,0.27600633688,0.22947846668,0.2074736923,0.0,0.0,0.0
BALEARES,2.0TD,ACCIONA,2022-06-01 00:00:00,Poniente+,0.30779366434,0.26141089274,0.24005763265,0.0,0.0,0.0
BALEARES,2.0TD,ACCIONA,2022-05-01 00:00:00,Poniente+,0.32841947934,0.28213085774,0.26120034515,0.0,0.0,0.0
BALEARES,2.0TD,ACCIONA,2022-04-01 00:00:00,Poniente+,0.33359361236,0.28732860896,0.2665041456000001,0.0,0.0,0.0
BALEARES,2.0TD,ACCIONA,2022-03-01 00:00:00,Poniente+,0.4417671723999999,0.3959959454,0.3773886115,0.0,0.0,
