SISTEMA,CIA,PRODUCTO,PRODUCTO_CIA,TARIFA,P1,P2,P3,P4,P5,P6
PENINSULA,FORZA,INDEXADO,MAX,2.0TD,0.0936237260273972,0.0134913945205479,0.0,0.0,0.0,0.0
PENINSULA,FORZA,INDEXADO,MEDIUM GREEN,2.0TD,0.0895141369863013,0.009381805479452,0.0,0.0,0.0,0.0
PENINSULA,FORZA,INDEXADO,SMAX GREEN,2.0TD,0.090884,0.0107516684931506,0.0,0.0,0.0,0.0
PENINSULA,FORZA,INDEXADO,SMAX,2.0TD,0.0962264657534246,0.0160941342465753,0.0,0.0,0.0,0.0
PENINSULA,GANA,INDEXADO,SIN MAS,2.0TD,0.06954,0.00367,0.0,0.0,0.0,0.0
PENINSULA,HOLALUZ,INDEXADO,HOLALUZ INDEXADO,2.0TD,0.065072,0.002683,0.0,0.0,0.0,0.0
PENINSULA,IGNIS,INDEXADO,MARE KIT 1,2.0TD,0.069542616,0.00367866,0.0,0.0,0.0,0.0
PENINSULA,IGNIS,INDEXADO,MARE KIT 2,2.0TD,0.069542616,0.00367866,0.0,0.0,0.0,0.0
PENINSULA,IGNIS,INDEXADO,MARE KIT 3,2.0TD,0.069542616,0.00367866,0.0,0.0,0.0,0.0
PENINSULA,IGNIS,INDEXADO,MARE PLUS 1,2.0TD,0.088035767,0.022171816,0.0,0.0,0.0,0.0
PENINSULA,IGNIS,INDEXADO,MARE PLUS 2,2.0TD,0.088035767,0.022171816,0.0,0.0,0.0,0.0
PENINSULA,IGNIS,INDEXADO,MARE PLUS 3,2.0TD,0.088035767,0.022171816,0.0,0.0,0.0,0.0
PENINSULA,IGNIS,INDEXADO,MARE ZEN 1,2.0TD,0.078117959,0.012254008,0.0,0.0,0.0,0.0
PENINSULA,IGNIS,INDEXADO,MARE ZEN 2,2.0TD,0.078117959,0.012254008,0.0,0.0,0.0,0.0
PENINSULA,IGNIS,INDEXADO,MARE ZEN 3,2.0TD,0.078117959,0.012254008,0.0,0.0,0.0,0.0
PENINSULA,PLENITUDE,INDEXADO,MILAN,2.0TD,0.082641,0.030529,0.0,0.0,0.0,0.0
PENINSULA,PLENITUDE,INDEXADO,NAPOLES,2.0TD,0.071682,0.014091,0.0,0.0,0.0,0.0
PENINSULA,PLENITUDE,INDEXADO,ROMA,2.0TD,0.071682,0.014091,0.0,0.0,0.0,0.0
PENINSULA,PLENITUDE,INDEXADO,VENECIA,2.0TD,0.082641,0.030529,0.0,0.0,0.0,0.0
PENINSULA,MAX,INDEXADO,MAYOR C,2.0TD,0.069543,0.003679,0.0,0.0,0.0,0.0
