SISTEMA,CIA,PRODUCTO,PRODUCTO_CIA,TARIFA,FEE,P1,P2,P3,P4,P5,P6,P1.,P2.,P3.,P4.,P5.,P6.
PENINSULA,AEQ,FIJO,SIMETRIA,2.0TD,15,0.092145,0.022172,0.0,0.0,0.0,0.0,0.277522,0.22394,0.187676,0,0,0
PENINSULA,AEQ,FIJO,ARMONIA,2.0TD,20,0.071803,0.005528,0.0,0.0,0.0,0.0,0.282522,0.22894,0.192676,0,0,0
PENINSULA,AEQ,FIJO,EQUILIBRIO,2.0TD,20,0.081597,0.013542,0.0,0.0,0.0,0.0,0.282522,0.22894,0.192676,0,0,0
PENINSULA,AEQ,FIJO,SIMETRIA,2.0TD,20,0.092145,0.022172,0.0,0.0,0.0,0.0,0.282522,0.22894,0.192676,0,0,0
PENINSULA,AEQ,FIJO,ARMONIA,2.0TD,25,0.071803,0.005528,0.0,0.0,0.0,0.0,0.287522,0.23394,0.197476,0,0,0
PENINSULA,AEQ,FIJO,EQUILIBRIO,2.0TD,25,0.081597,0.013542,0.0,0.0,0.0,0.0,0.287522,0.23394,0.197476,0,0,0
PENINSULA,AEQ,FIJO,SIMETRIA,2.0TD,25,0.092145,0.022172,0.0,0.0,0.0,0.0,0.287522,0.23394,0.197476,0,0,0
PENINSULA,AEQ,FIJO,ARMONIA,2.0TD,30,0.071803,0.005528,0.0,0.0,0.0,0.0,0.292522,0.23894,0.202676,0,0,0
PENINSULA,AEQ,FIJO,EQUILIBRIO,2.0TD,30,0.081597,0.013542,0.0,0.0,0.0,0.0,0.292522,0.23894,0.202676,0,0,0
PENINSULA,AEQ,FIJO,SIMETRIA,2.0TD,30,0.092145,0.022172,0.0,0.0,0.0,0.0,0.292522,0.23894,0.202676,0,0,0
CANARIAS,AEQ,FIJO,ARMONIA,2.0TD,3,0.071803,0.005528,0.0,0.0,0.0,0.0,0.274798,0.22063,0.184321,0,0,0
CANARIAS,AEQ,FIJO,EQUILIBRIO,2.0TD,3,0.081597,0.013542,0.0,0.0,0.0,0.0,0.274798,0.22063,0.184321,0,0,0
CANARIAS,AEQ,FIJO,SIMETRIA,2.0TD,3,0.092145,0.022172,0.0,0.0,0.0,0.0,0.274798,0.22063,0.184321,0,0,0
CANARIAS,AEQ,FIJO,ARMONIA,2.0TD,6,0.071803,0.005528,0.0,0.0,0.0,0.0,0.277798,0.22363,0.18732100000000002,0,0,0
